molecule_chembl_id,,fix_smiles,standard_value,pic50
CHEMBL3341984,,CC(C)Oc1ncc(Oc2cc(F)c(C(=O)NS(=O)(=O)N3CCC3)cc2C2CC2)cc1Cl,1200,5.920818754
CHEMBL3662081,,O=C(NS(=O)(=O)N1CCC1)c1cc(C2CC2)c(OCC2(C(F)(F)F)CCCC2)cc1F,90,7.045757491
CHEMBL5190568,,Cc1ccc(S(=O)(=O)Nc2cc(C(=O)NCc3ccc(C)nc3)ccc2C)cc1,30000,4.522878745
CHEMBL4226210,,Fc1ccc(C(CCCNCCCN2CCCCC2)c2ccc(F)cc2)cc1,4800,5.318758763
CHEMBL4293085,,O=C(NCc1ccc(OC(F)(F)F)c(Cl)c1)c1ccc(S(=O)(=O)Nc2ncns2)c(F)c1,4870,5.312471039
CHEMBL4545044,,CCn1cnc2c(-c3ccc(F)c(-c4cc5c(cc4OC)C(=O)N(C)C5)c3)cnnc21,100000,4
CHEMBL4277264,,Cc1cc(Oc2nccc3occc23)ccc1-c1c(C)ncc2nccn12,1100,5.958607315
CHEMBL106610,,Cc1ccc(C(=O)N=C(N)NCCCCCc2ccccc2)cc1,3600,5.443697499
CHEMBL5083410,,CS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2CN(Cc3ccccc3)C2)cc1F,30000,4.522878745
CHEMBL1111,,COC(c1ccccc1)(c1ccccc1)C(Oc1nc(C)cc(C)n1)C(=O)O,1000000,3
CHEMBL1008,,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,3700,5.431798276
CHEMBL4229014,,Fc1ccc(CCCCNCCCN2CCCCC2)cc1,5900,5.229147988
CHEMBL3544913,,NC(=O)C1CC[C@H](c2ccc(OCc3ccccc3F)cc2)N1,84000,4.075720714
CHEMBL552338,,O=C(c1ccccc1C(F)(F)F)N(CC1CCC1)[C@H]1CCNC1,26000,4.585026652
CHEMBL4457557,,NC(=O)c1ccc(Cc2ccccc2)cc1-c1cccc(CCC(=O)O)c1,33300,4.477555766
CHEMBL6966,,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,41500,4.381951903
CHEMBL108070,,Cc1ccc(C(=O)N=C(N)NCCc2cccs2)cc1,10500,4.978810701
CHEMBL3657929,,CS(=O)(=O)NC(=O)c1cc(Cl)c(OCC2CC3C4CCC(C4)C3C2)cc1F,743,6.129011186
CHEMBL4517426,,CC(C)COc1ncc(-c2ccc(C(=O)NS(C)(=O)=O)cc2C2=CCOC2)cc1Cl,42000,4.37675071
CHEMBL1631095,,NC(=O)c1cc(C(N)=O)n(-c2cccc(-c3cc(C(F)(F)F)ccc3C(F)(F)F)c2)n1,1320,5.879426069
CHEMBL3657921,,CN(C)S(=O)(=O)NC(=O)c1cc(Cl)c(OC2CC3CC2C2CCCC32)cc1F,7820,5.106793247
